Hotel/Resort Name,Type of Residence,Area,Rating,Rating,Reviews,Booking website 1,Booking website 1_Price,Booking website 2,Booking website 2 -Price,Booking website 3,Booking website 3 -Price,Cancellation Details,Breakfast Provision,Payement option,Discount
Best Western New Oregon Motel,Hotel,Eugene,7.8,     Good  ,2558,Booking.com,12133,Hotels.com,12132,Priceline,11382,Free cancellation,Breakfast included,Breakfast included,
Holiday Inn Express Klamath - Redwood Ntl Pk Area,Hotel,Klamath,8.5,     Excellent  ,2494,Holiday Inn Express,12450,Booking.com,12450,ZenHotels.com,12449,Free cancellation,Breakfast included,Pay at the property,35%
Tru By Hilton Manchester Downtown,,Manchester,8.9,     Excellent  ,1172,Booking.com,13497,Tru by Hilton,13498,Agoda,13496,Free cancellation,Breakfast included,,Lower than hotel site
Hampton Inn & Suites Leavenworth  Wa,,Leavenworth,9,     Excellent  ,3025,Booking.com,10823,Hampton Inn,10823,Hotels.com,10822,Free cancellation,Breakfast included,Pay at the property,32%
Drury Inn & Suites Findlay,Hotel,Findlay,9.2,     Excellent  ,2504,Booking.com,10404,Hotels.com,10404,,,Free cancellation,Breakfast included,,Our lowest price
Hotel Genetti,Hotel,Williamsport,8.7,     Excellent  ,2680,Booking.com,6984,Hotels.com,6983,Hotels.com,6983,Free cancellation,Breakfast included,,
Country Inn & Suites by Radisson  Harrisonburg  VA,Hotel,Harrisonburg,8.7,     Excellent  ,2662,Booking.com,10016,Hotels.com,10016,Trip.com,8458,Free cancellation,Breakfast included,Breakfast included,
Tween Waters Inn Island Resort,Resort,Captiva Island,8.6,     Excellent  ,2783,Hotel site,20463,Trip.com,30320,,,Free cancellation,Breakfast included,,34%
Inn at Fox Chase - BW Premier Collection,,Bensalem,8.1,     Very good  ,769,Booking.com,12841,Hotels.com,12841,,,Free cancellation,Breakfast included,,Our lowest price
Holiday Inn Peachtree City,Hotel,Peachtree City,8.4,     Very good  ,1470,Booking.com,13721,Holiday Inn,13720,Holiday Inn,13720,Free cancellation,Breakfast included,Pay at the property,
Hyatt Place Denver Downtown,,Denver,8.5,     Excellent  ,4261,Booking.com,12572,Hyatt Hotels,12572,ZenHotels.com,12571,Free cancellation,Breakfast included,Breakfast included,
Embassy Suites by Hilton San Rafael Marin County,Hotel,San Rafael,8,     Very good  ,2713,Booking.com,17465,Embassy,16591,Trip.com,14899,Free cancellation,Breakfast included,Breakfast included,
Hotel Yosemite View Lodge,Serviced apartment,El Portal,7.9,     Good  ,8443,Booking.com,16845,Trip.com,14690,Trip.com,14690,Free cancellation,Breakfast included,,37%
Holiday Inn Express And Suites Roanoke  Civic Center,,Roanoke,9.1,     Excellent  ,1207,Holiday Inn Express,10463,Hotels.com,10463,Trip.com,10140,Free cancellation,Breakfast included,Pay at the property,
Hotel Doubletree Modesto,Hotel,Modesto,7.6,     Good  ,1661,Booking.com,14183,Hotels.com,14138,Hotels.com,14138,Free cancellation,Breakfast included,Pay at the property,
Horseshoe Bossier City,Resort,Bossier City,8.2,     Very good  ,7007,Booking.com,8334,Hotels.com,8263,Agoda,8046,Free cancellation,Breakfast included,,
Embassy Suites By Hilton Boulder,Hotel,Boulder,9,     Excellent  ,2231,Booking.com,20130,Embassy,20131,Priceline,20028,Free cancellation,Breakfast included,,Lower than hotel site
Best Western Plus Desert View Inn& Suites,,Cathedral City,9.1,     Excellent  ,2147,Booking.com,16204,Hotels.com,16203,Hotels.com,16203,Free cancellation,Breakfast included,Breakfast included,
Holiday Inn Express & Suites Festus - South St. Louis,Hotel,Festus,9.1,     Excellent  ,1308,Booking.com,12995,Holiday Inn Express,13085,,,Free cancellation,Breakfast included,,Our lowest price
Holiday Inn Express and Suites Opelousas,Hotel,Opelousas,8.4,     Very good  ,369,Holiday Inn Express,11023,Booking.com,11023,Agoda,10929,Free cancellation,Breakfast included,Pay at the property,
The Westin Hilton Head Island Resort & Spa,Hotel,Hilton Head Island,8.3,     Very good  ,2609,Booking.com,26209,Westin,26529,Trip.com,25610,Free cancellation,Breakfast included,,Lower than hotel site
Comfort Suites Moab near Arches National Park,Hotel,Moab,9.1,     Excellent  ,2703,Booking.com,10141,Hotels.com,10141,Trip.com,9543,Free cancellation,Breakfast included,,43%
Hampton Inn Fort Smith,Hotel,Fort Smith,9,     Excellent  ,2701,Booking.com,12479,Hampton Inn,12480,Priceline,12415,Free cancellation,Breakfast included,,Lower than hotel site
Hotel Hard Rock & Casino Lake Tahoe,,Stateline,6.0 ,     ,12978,Booking.com,10664,Hotels.com,10372,Trip.com,8607,Free cancellation,Breakfast included,,
Oglebay Resort,Resort,Wheeling,8.4,     Very good  ,1402,Booking.com,13209,Hotels.com,13851,Agoda,13208,Free cancellation,Breakfast included,,
Holiday Inn Express & Suites Caryville,Hotel,Caryville,9,     Excellent  ,1477,Holiday Inn Express,10869,Booking.com,10869,ZenHotels.com,10868,Free cancellation,Breakfast included,Pay at the property,
Hyatt Regency Chesapeake Bay Resort,Hotel,Cambridge,8.5,     Excellent  ,2770,Booking.com,21660,Hyatt Hotels,21660,Prestigia,20509,Free cancellation,Breakfast included,Pay at the property,
Hotel Wingate By Wyndham - Erie,Hotel,Erie,8.5,     Excellent  ,2668,Booking.com,7999,Hotels.com,8888,,,Free cancellation,Breakfast included,,Our lowest price
Graduate Bloomington,Hotel,Bloomington,9.3,     Excellent  ,2491,Booking.com,13483,Hotels.com,13694,,,Free cancellation,Breakfast included,,Our lowest price
Best Western Tree House Motor Inn,Hotel,Mount Shasta,8.6,     Excellent  ,1676,Booking.com,14475,Trip.com,14477,ZenHotels.com,14473,Free cancellation,Breakfast included,Pay at the property,27%
Crowne Plaza Lake Placid,Hotel,Lake Placid,8.9,     Excellent  ,5890,Booking.com,13073,Crowne Plaza,13073,ZenHotels.com,11900,Free cancellation,Breakfast included,,28%
Holiday Inn Express & Suites Eureka,Hotel,Eureka,9,     Excellent  ,2540,Holiday Inn Express,14474,Booking.com,14474,ZenHotels.com,14230,Free cancellation,Breakfast included,Breakfast included,
Best Western Plus Bryce Canyon Grand,Hotel,Bryce Canyon City,8.6,     Excellent  ,4407,Booking.com,11393,Trip.com,11395,,,Free cancellation,Breakfast included,Breakfast included,28%
Embassy Suites by Hilton Mandalay Beach Hotel & Resort,Hotel,Oxnard,8,     Very good  ,1164,Booking.com,23776,Trip.com,23761,Hotels.com,23735,Free cancellation,Breakfast included,,
Baymont Inn & Suites Knoxville Cedar Bluff,Hotel,Knoxville,8.9,     Excellent  ,5181,Booking.com,9734,Hotels.com,10246,,,Free cancellation,Breakfast included,,Our lowest price
The Lakefront Anchorage,Hotel,Anchorage,7.8,     Good  ,3257,Booking.com,14449,Hotels.com,14449,Destinia,12618,Free cancellation,Breakfast included,Pay at the property,
Woodwards White Mountain Resort BW Signature Collection,Hotel,Lincoln,8.2,     Very good  ,1550,Booking.com,8940,Hotels.com,8940,ZenHotels.com,8939,Free cancellation,Breakfast included,Breakfast included,38%
Hilton Garden Inn Laramie,Hotel,Laramie,8.9,     Excellent  ,2658,Booking.com,12294,Garden Inn,12295,,,Free cancellation,Breakfast included,Pay at the property,Our lowest price
Holiday Inn Express & Suites Firestone,,Firestone,8.9,     Excellent  ,589,Holiday Inn Express,7700,Booking.com,7534,Priceline,7533,Free cancellation,Breakfast included,Pay at the property,32%
The Cody Hotel,Hotel,Cody,9.2,     Excellent  ,2714,Booking.com,13099,Hotels.com,13099,Trip.com,11598,Free cancellation,Breakfast included,Breakfast included,29%
Hilton Garden Inn Riverhead  NY,Hotel,Riverhead,8.5,     Excellent  ,2678,Booking.com,13751,Garden Inn,13752,Hotels.com,13750,Free cancellation,Breakfast included,Pay at the property,33%
Days Inn West Yellowstone,Hotel,West Yellowstone,7.8,     Good  ,2660,Booking.com,7914,Hotels.com,7914,Priceline,7875,Free cancellation,Breakfast included,Breakfast included,63%
Cambria Hotel New Haven University Area,Hotel,New Haven,8.4,     Very good  ,381,Booking.com,22876,Trip.com,17157,Trip.com,17157,Free cancellation,Breakfast included,Pay at the property,
Aquarius Casino Resort,,Laughlin,7.8,     Good  ,15670,Hotels.com,5431,lol.travel,4176,lol.travel,4176,Free cancellation,Breakfast included,,
Holiday Inn Express & Suites Montrose,Hotel,Montrose,8.3,     Very good  ,2623,Booking.com,14245,Holiday Inn Express,16758,,,Free cancellation,Breakfast included,Breakfast included,34%
La Quinta Inn & Suites Cedar City,,Cedar City,8.6,     Excellent  ,2743,Booking.com,8307,Hotels.com,9230,,,Free cancellation,Breakfast included,Pay at the property,19%
Wingate By Wyndham Moab,,Moab,9.3,     Excellent  ,4571,Booking.com,8264,Wingate,8265,Trip.com,7338,Free cancellation,Breakfast included,Pay at the property,49%
Hotel Grand Canyon Railway,Hotel,Williams,8.5,     Excellent  ,2900,Booking.com,12053,Hotels.com,11571,Hotels.com,11571,Free cancellation,Breakfast included,,19%
Comfort Inn & Suites Watertown - 1000 Islands,Hotel,Watertown,8.3,     Very good  ,2504,Booking.com,8560,Hotels.com,8559,Trip.com,8156,Free cancellation,Breakfast included,,
Holiday Inn Express Madera-Yosemite Pk Area,Hotel,Madera,8.4,     Very good  ,1132,Holiday Inn Express,13064,Booking.com,13064,ZenHotels.com,12898,Free cancellation,Breakfast included,Breakfast included,
Cherry Valley Hotel  BW Premier Collection,Hotel,Newark,8.3,     Very good  ,1186,Booking.com,9534,Hotels.com,9534,,,Free cancellation,Breakfast included,,23%
La Quinta Inn & Suites Madera,Hotel,Madera,8.5,     Excellent  ,2521,Booking.com,11728,Hotels.com,11943,,,Free cancellation,Breakfast included,,Our lowest price
EVEN Hotel Norwalk  an IHG Hotel,Hotel,Norwalk,8.6,     Excellent  ,4169,Booking.com,13697,Hotels.com,11642,ZenHotels.com,11640,Free cancellation,Breakfast included,,
Country Inn & Suites by Radisson  Petersburg  VA,Hotel,Petersburg,7.6,     Good  ,1526,Booking.com,12539,Trip.com,11383,Trip.com,11383,Free cancellation,Breakfast included,Breakfast included,
Embassy Suites by Hilton Tuscaloosa Alabama Downtown,,Tuscaloosa,9.3,     Excellent  ,1954,Booking.com,17729,Embassy,17730,Hotels.com,17728,Free cancellation,Breakfast included,,Lower than hotel site
Cartoon Network Hotel,,Lancaster,7.5,     Good  ,2945,Hotels.com,9460,Booking.com,10199,Trip.com,8312,Free cancellation,Breakfast included,Pay at the property,14%
Holiday Inn Express & Suites Albany,Hotel,Albany,8.8,     Excellent  ,1480,Booking.com,14169,Holiday Inn Express,14169,,,Free cancellation,Breakfast included,Breakfast included,17%
South Coast Winery Resort & Spa,Resort,Temecula,8.7,     Excellent  ,2778,Booking.com,22865,Hotels.com,21842,Trip.com,20762,Free cancellation,Breakfast included,,
The Steamboat Grand,Hotel,Steamboat Springs,8.4,     Very good  ,2666,Booking.com,17049,Trip.com,17052,ZenHotels.com,17046,Free cancellation,Breakfast included,,
Comfort Suites Salisbury,Hotel,Salisbury,8.1,     Very good  ,1702,Booking.com,8564,Hotels.com,8480,Trip.com,8247,Free cancellation,Breakfast included,,
Drury Inn & Suites Columbia Stadium Boulevard,Hotel,Columbia,8.9,     Excellent  ,2548,Booking.com,10812,Hotels.com,9730,Hotels.com,9730,Free cancellation,Breakfast included,Breakfast included,
Avid Hotels Macon North,,Macon,8.6,     Excellent  ,717,avid,10466,Booking.com,10974,,,Free cancellation,Breakfast included,,Our lowest price
Best Western Plus Bayshore Inn,Hotel,Eureka,8.4,     Very good  ,2800,Booking.com,13914,Hotels.com,13889,ZenHotels.com,13888,Free cancellation,Breakfast included,Breakfast included,
Hilton Vacation Club The Historic Powhatan Williamsburg,Hotel,Williamsburg,8,     Very good  ,828,Booking.com,11636,Hilton Grand Vacations,11357,Trip.com,10584,Free cancellation,Breakfast included,,
Chateau on the Lake Resort Spa & Convention Center,Resort,Branson,8.5,     Excellent  ,3234,Booking.com,16846,Trip.com,12732,Trip.com,12732,Free cancellation,Breakfast included,,
Hampton Inn Mount Airy,Hotel,Mount Airy,9.1,     Excellent  ,2648,Booking.com,16314,Hampton Inn,16315,Priceline,16218,Free cancellation,Breakfast included,,Lower than hotel site
Best Western Plus Tacoma Hotel,,Tacoma,8.6,     Excellent  ,703,Booking.com,11849,Hotels.com,11849,,,Free cancellation,Breakfast included,,Our lowest price
Holiday Inn Express & Suites Gadsden W-Near Attalla,Hotel,Gadsden,9.1,     Excellent  ,1267,Holiday Inn Express,15879,Booking.com,15879,Agoda,15878,Free cancellation,Breakfast included,Breakfast included,
Juniper Springs Resort,Hotel,Mammoth Lakes,8.6,     Excellent  ,2612,Booking.com,19356,Trip.com,14829,Trip.com,14829,Free cancellation,Breakfast included,,
Holiday Inn Binghamton Downtown,Hotel,Binghamton,8.1,     Very good  ,2212,Booking.com,12697,Holiday Inn,12697,ZenHotels.com,11484,Free cancellation,Breakfast included,Pay at the property,
Grand Hotel & Spa,Hotel,Ocean City,8.3,     Very good  ,5032,Booking.com,9830,Hotels.com,9656,Hotels.com,9656,Free cancellation,Breakfast included,,23%
Holiday Inn Express Bakersfield,Hotel,Bakersfield,8.3,     Very good  ,2665,Booking.com,11558,Holiday Inn Express,11558,ZenHotels.com,10069,Free cancellation,Breakfast included,Breakfast included,
Sea Crest Beach Hotel,Hotel,Falmouth,7.8,     Good  ,2560,Booking.com,15251,Hotels.com,13898,ZenHotels.com,13896,Free cancellation,Breakfast included,,50%
Monarch Casino Resort Spa Black Hawk,,Black Hawk,8.8,     Excellent  ,10300,Hotel site,14584,Hotels.com,18664,,,Free cancellation,Breakfast included,,Our lowest price
The Broadway Columbia - a DoubleTree by Hilton,Hotel,Columbia,9.1,     Excellent  ,1827,Booking.com,18790,Doubletree US,18791,Hotels.com,18789,Free cancellation,Breakfast included,Pay at the property,Lower than hotel site
Best Western Plus College Station Inn & Suites,,College Station,9.1,     Excellent  ,2491,Booking.com,9538,Hotels.com,9537,ZenHotels.com,9536,Free cancellation,Breakfast included,,
Hotel DoubleTree by Hilton Flagstaff,Hotel,Flagstaff,8.1,     Very good  ,2826,Booking.com,10003,Doubletree US,10004,,,Free cancellation,Breakfast included,Pay at the property,Our lowest price
Comfort Inn Lenoir,Hotel,Lenoir,8.8,     Excellent  ,814,Booking.com,12857,Hotels.com,12856,Trip.com,11574,Free cancellation,Breakfast included,Breakfast included,
Comfort Inn & Suites Cedar City,Hotel,Cedar City,8.2,     Very good  ,2611,Booking.com,6196,Hotels.com,6209,,,Free cancellation,Breakfast included,,Our lowest price
Columbia Gorge Hotel,Hotel,Hood River,8.7,     Excellent  ,2199,Hotel site,14602,Booking.com,14456,Hotels.com,12500,Free cancellation,Breakfast included,,
Mt Olympus Water & Theme Park,,Wisconsin Dells,6.0 ,     ,4626,Booking.com,6164,Hotels.com,6070,Hotels.com,6070,Free cancellation,Breakfast included,,
Holiday Inn Express & Suites Port Aransas/Beach Area,Hotel,Port Aransas,8,     Very good  ,83,Booking.com,9311,Holiday Inn Express,7914,Holiday Inn Express,7914,Free cancellation,Breakfast included,Breakfast included,45%
Cambria Pines Lodge,Serviced apartment,Cambria,8.7,     Excellent  ,2759,Booking.com,11167,Hotels.com,11142,Trip.com,9613,Free cancellation,Breakfast included,Pay at the property,36%
Hilton Garden Inn Morgantown,Hotel,Morgantown,8.6,     Excellent  ,2672,Booking.com,9905,Garden Inn,9905,Hotels.com,9904,Free cancellation,Breakfast included,,
The Baywatch Resort,,Traverse City,9.1,     Excellent  ,2743,Booking.com,10041,Hotels.com,8234,Trip.com,8212,Free cancellation,Breakfast included,Pay at the property,33%
The Wolfeboro Inn,Hotel,Wolfeboro,8.1,     Very good  ,938,Hotel site,12553,Hotels.com,13645,,,Free cancellation,Breakfast included,,Our lowest price
Hampton Inn Oakhurst-yosemite  Ca,,Oakhurst,9.1,     Excellent  ,231,Booking.com,11916,Hampton Inn,11919,Fairfield Inn,10994,Free cancellation,Breakfast included,Breakfast included,31%
Best Western Dry Creek Inn,Hotel,Healdsburg,7.8,     Good  ,2966,Booking.com,14791,Hotels.com,14790,Hotels.com,14790,Free cancellation,Breakfast included,,
Hilton Garden Inn Olympia  WA,,Olympia,8.8,     Excellent  ,2400,Booking.com,12293,Garden Inn,12294,Hotels.com,12292,Free cancellation,Breakfast included,Pay at the property,Lower than hotel site
Best Western Plus Dalton Inn,Hotel,Dalton,8.6,     Excellent  ,2639,Booking.com,12105,Trip.com,10119,Trip.com,10119,Free cancellation,Breakfast included,Breakfast included,
Country Inn & Suites by Radisson - Ithaca - NY,Hotel,Ithaca,8.1,     Very good  ,2563,Booking.com,8952,Hotels.com,8952,Trip.com,8240,Free cancellation,Breakfast included,Breakfast included,34%
Quinault Beach Resort & Casino,Hotel,Ocean Shores,8.1,     Very good  ,2522,Hotel site,11093,Booking.com,11093,ZenHotels.com,11082,Free cancellation,Breakfast included,,43%
Hampton Inn & Suites Williamstown Ark Encounter  Ky,,Williamstown,9,     Excellent  ,477,Booking.com,16648,Hotels.com,16648,Trip.com,14718,Free cancellation,Breakfast included,,
Abbey Inn Cedar City,Hotel,Cedar City,9.3,     Excellent  ,3761,Booking.com,9209,Hotels.com,9229,Trip.com,8169,Free cancellation,Breakfast included,Breakfast included,
La Quinta Inn & Suites Cleveland,,Cleveland,9.1,     Excellent  ,2518,Booking.com,11216,Hotels.com,11216,La Quinta,11215,Free cancellation,Breakfast included,,
La Quinta Inn & Suites Visalia/Sequoia Gateway,Hotel,Visalia,8.1,     Very good  ,2521,Booking.com,11652,Hotels.com,11652,ZenHotels.com,11651,Free cancellation,Breakfast included,Breakfast included,
The Ritz-Carlton Reynolds  Lake Oconee,Hotel,Greensboro,8.9,     Excellent  ,930,Booking.com,63029,Ritz-Carlton,64182,Priceline,62514,Free cancellation,Breakfast included,Pay at the property,Lower than hotel site
La Quinta Inn & Suites Paso Robles,Hotel,Paso Robles,8.9,     Excellent  ,3191,Booking.com,14495,Hotels.com,14495,ZenHotels.com,14493,Free cancellation,Breakfast included,Breakfast included,
Sleep Inn & Suites,Hotel,East Syracuse,9.2,     Excellent  ,2093,Booking.com,7792,Hotels.com,7792,Trip.com,7739,Free cancellation,Breakfast included,,31%
Hotel Boulderado,Hotel,Boulder,9.2,     Excellent  ,2831,Booking.com,14913,Hotels.com,14416,ZenHotels.com,14299,Free cancellation,Breakfast included,Pay at the property,41%
Holiday Inn Plattsburgh Adirondack Area,Hotel,Plattsburgh,8.1,     Very good  ,2603,Booking.com,8049,Hotels.com,8049,Trip.com,7146,Free cancellation,Breakfast included,,24%
Embassy Suites by Hilton Saratoga Springs,,Saratoga Springs,9.3,     Excellent  ,2746,Booking.com,18716,Embassy,17054,Agoda,17052,Free cancellation,Breakfast included,Breakfast included,
Quality Inn & Suites Abingdon,Hotel,Abingdon,8.5,     Excellent  ,1895,Booking.com,8492,Hotels.com,8515,Trip.com,8095,Free cancellation,Breakfast included,Breakfast included,
Hotel Larkspur Landing Hillsboro,Hotel,Hillsboro,8,     Very good  ,3969,Booking.com,9808,Hotels.com,9555,Trip.com,8445,Free cancellation,Breakfast included,,
Holiday Inn Express & Suites Lexington Midtown - I-75,Hotel,Lexington,9.1,     Excellent  ,1125,Booking.com,11817,Holiday Inn Express,11817,ZenHotels.com,11815,Free cancellation,Breakfast included,,
La Quinta Inn & Suites Summersville,Hotel,Summersville,8.4,     Very good  ,2529,Booking.com,12133,Hotels.com,12132,Trip.com,11936,Free cancellation,Breakfast included,Breakfast included,
Wingate by Wyndham Grove City,Hotel,Grove City,7.9,     Good  ,2641,Booking.com,7760,Hotels.com,7760,Agoda,7293,Free cancellation,Breakfast included,Breakfast included,
Radisson Hotel and Conf Ctr Green Bay,Hotel,Green Bay,8.4,     Very good  ,2696,Booking.com,11920,Hotels.com,11115,Trip.com,11067,Free cancellation,Breakfast included,Pay at the property,
Embassy Suites by Hilton San Marcos Conference Center & Spa,Hotel,San Marcos,8.3,     Very good  ,2749,Booking.com,13537,Embassy,13538,Hotels.com,13536,Free cancellation,Breakfast included,,Lower than hotel site
Drury Inn and Suites Montgomery,Hotel,Montgomery,9,     Excellent  ,2634,Booking.com,15022,Hotels.com,13538,Hotels.com,13538,Free cancellation,Breakfast included,Breakfast included,
Microtel Inn & Suites by Wyndham Manistee,Hotel,Manistee,8.5,     Excellent  ,2590,Booking.com,8426,Hotels.com,8425,Hotels.com,8425,Free cancellation,Breakfast included,Breakfast included,23%
Senator Inn & Spa,Hotel,Augusta,7.7,     Good  ,2631,Booking.com,11793,Hotels.com,13154,Trip.com,10621,Free cancellation,Breakfast included,Pay at the property,
Hotel Omni Mount Washington Resort,Hotel,Carroll,8.3,     Very good  ,2465,Booking.com,30524,Hotels.com,30524,ZenHotels.com,30520,Free cancellation,Breakfast included,,17%
Springhill Suites By Marriott Frederick,,Frederick,9.1,     Excellent  ,729,Booking.com,14320,Springhill Suites,14320,,,Free cancellation,Breakfast included,,Our lowest price
Red Lion Inn Kalispell,Hotel,Kalispell,7.8,     Good  ,2526,Booking.com,8005,Hotels.com,8005,ZenHotels.com,8004,Free cancellation,Breakfast included,Breakfast included,51%
The Davenport Grand  Autograph Collection,Hotel,Spokane,9,     Excellent  ,2813,Booking.com,17941,Autograph,17968,ZenHotels.com,17865,Free cancellation,Breakfast included,Pay at the property,Lower than hotel site
Gateway Inn,Hotel,Grand Lake,8.7,     Excellent  ,2995,Booking.com,9146,Hotels.com,9146,Trip.com,9137,Free cancellation,Breakfast included,,54%
Hampton Inn & Suites Poughkeepsie,Hotel,Poughkeepsie,8.3,     Very good  ,3433,Booking.com,12194,Hampton Inn,12195,Hotels.com,12193,Free cancellation,Breakfast included,,Lower than hotel site
Elevation Hotel & Spa,Hotel,Crested Butte,8.1,     Very good  ,2666,Booking.com,18526,Trip.com,15721,Trip.com,15721,Free cancellation,Breakfast included,Pay at the property,
La Quinta Inn & Suites Tucson Airport,Hotel,Tucson,8.2,     Very good  ,4850,Booking.com,10741,Hotels.com,10741,ZenHotels.com,10739,Free cancellation,Breakfast included,Breakfast included,
Clarion Inn Harpers Ferry-Charles Town,Hotel,Harpers Ferry,8.3,     Very good  ,2622,Booking.com,8637,Hotels.com,8637,Trip.com,7877,Free cancellation,Breakfast included,Breakfast included,
Best Western Plus Carpinteria Inn,Hotel,Carpinteria,8.2,     Very good  ,2790,Booking.com,12047,Hotels.com,12046,ZenHotels.com,12044,Free cancellation,Breakfast included,Pay at the property,28%
Country Inn & Suites By Carlson Freeport,Hotel,Freeport,8.8,     Excellent  ,1687,Booking.com,10310,Hotels.com,10310,ZenHotels.com,10309,Free cancellation,Breakfast included,,16%
